"","listing_id","id","date","reviewer_id","reviewer_name","comments"
"1438684",31293013,431367939,"2019-03-31",208264853,"Karlee","This is a spectacular spot. The apartment was everything I needed. The bed was very comfortable. The living room was very cozy and relaxing to chill out and watch TV. I was only there for one night so didn’t have a chance to cook. The patio offers a wonderful view on Hollywood Blvd. The location is great, only a block away from the heart of Hollywood but far enough away that it wasn’t noisy at night. I was provided a parking space that was gated which made coming and going very simple! There were also lots of activities and food places around. Adel communicated very professionally and promptly which made everything easy. I had a wonderful stay!"
"373157",5593497,47085193,"2015-09-15",40602539,"Bobbito","Io e mia moglie abbiamo lasciato un pezzettino di cuore a Los Angeles, e per questo dobbiamo dire grazie a Fotini. Lo Studio è perfettamente ubicato nel cuore di Hollywood, e permette di raggiungere facilmente alcuni dei punti d`interesse della zona. Fotini ci ha lasciato anche il permesso per parcheggiare direttamente fuori dalla casa, e quindi non abbiamo dovuto sborsare un dollaro. Per quanto riguarda la casa, è come la vedete in foto. Arredata di tutto punto, pulita e accogliente. Siamo rimasti veramente soddisfatti, e ci siamo ripromessi di tornarci il prima possibile. Alloggio veramente consigliato, grazie Fotini!"
"806362",15452543,143824820,"2017-04-13",10534296,"Sara","Had an absolutely lovely stay!"
"506257",8584731,253212615,"2018-04-13",167665378,"Peter","Quiet gem in the heart of LA"
"1100791",21067735,510886768,"2019-08-16",199418512,"Jenna","Our family of 3 enjoyed our stay. The hosts were easy to communicate with. The neighborhood was well kept and felt safe. The home was clean and beautifully decorated. My kids loved the pool!"
"1050972",20173155,238980567,"2018-02-27",3651625,"Craig","We loved this place. In addition to being stylish, clean, and convenient, the hosts were super responsive to questions and anticipated our every request—like offering another comforter when it got surprisingly cold. It was nice to be able to park our rental car in the drive. We would definitely stay here again. PS. We want that painting."
"365774",5402480,342448006,"2018-10-28",3196197,"Andrew","Loved the space and the yard. very zen indeed. good light in the unit. no shared walls with the host. the dogs were not overly noisy at all. I had a great experience overall."
"803611",15398505,367369340,"2019-01-04",10448805,"Tânia","The place is well localized, but It is better to rent a car to go wherever you want to. It took only 15 min to Universal Studios and 30 min to Santa Monica. 60 min to Anaheim and Disneyland. People from Global are really nice and answer promptly to any inquiry. They even send someone to attend whenever you have an issue. The house has basic utensils, towels, linens, toilet paper, soap and shampoo."
"927275",17763283,350647238,"2018-11-19",201343052,"Emery","Would recommend to a friend"
"1047859",20120886,331837721,"2018-10-03",5520999,"Carly","A private oasis in the middle of echo park. The back yard is stunning and the bed is comfortable. Tall people may want to find another option, as the beams get as low as 6'2"" I'd say! I would recommend this spot to anyone (except very tall people) and hope to stay again."
"424951",6705847,136000560,"2017-03-07",23401690,"Fabienne","I stayed at Carrie's place for 1.5 weeks. She is a very friendly, funny and hospitably person. We had some interesting conversations about different themes. Carrie has a very cute dog Fiona, as soon as she knows you she let you pet her. :-) The room is big enough and the bed is really comfortable. You also have your own bathroom. In about 3 minutes of walk you'll find a cute coffee place and the best smoothies (glowingjuices). For me it was the perfect place to stay for my time in LA and I can really recommend Carrie and her house. Thank you very much Carrie and hope to see you again soon :-)"
"907597",17347454,441358573,"2019-04-21",17343248,"Marine","We had a great stay at Rhonda’s place. The room was clean and just what we needed for a couples of days to visit LA, plus the house is really cool."
"32023",256134,472496907,"2019-06-19",261667359,"Felipe","Kevin was one of the best things that happended during my trip to Los Angeles !"
"842981",16121074,295546485,"2018-07-23",198921042,"Erick","The house was very spacious and provided our family of 6 with plenty of room to breathe.  Mary provided all we needed for breakfast for our week-long stay. She answered all of our questions quickly and thoroughly. The location was nice and qwe enjuiet, with a great view. "
"475653",7861182,413561857,"2019-02-17",80805075,"Jessica","This was the perfect set up at a price you can't beat and in a great location. I was attending an expo at the Pasadena Convention Center and this was only 5 mins away which was great. The studio had everything I could possibly need. Parking for my rental car was great also. Highly reccomend!"
"231371",2879268,63162672,"2016-02-21",19512043,"Louie","Awesome lil studio. Was perfect for my trip since I was out and about most of the days so really just needed a nice, clean, comfy place to sleep and relax. Would absolutely stay here again. "
"202438",2268086,309738200,"2018-08-18",197711042,"Anne","Great place to stay while visiting my son. Convenient location, quiet and relaxing. Would definitely stay there again."
"1233993",23701094,303104604,"2018-08-06",182568118,"Morgane","Sais super génial mobilier cool bus taxi à pieds super bien positionné "
"307450",4258959,126038938,"2017-01-08",29411000,"Alex","We loved our stay at Yolanda's home. We felt right at home in her beautiful place and the location was ideal. Will definitely be returning! "
"217889",2614951,13753906,"2014-06-03",15187134,"Kl","Leslie was more than accommodating.  I arrived early so she was able to help me check in early.  She also stood outside to make sure I see her when I was arriving.  She gave me a good walk through and I had her number if any issues were to arise.  I had to cancel two nights from the booking and she was so sweet and helped me with every step since it was my first time booking with AirBNB. Her neighbors were quiet and I barely saw them--Parking accommodated to economy cars but there were plenty on the streets!"
"1496040",35271210,468981719,"2019-06-13",73258049,"Tyrone","Very nice place to stay. It’s beautiful upon entering the home. Parking can be a hassle and the bed was a little hard but beside that really nice stay!"
"171279",1700255,17688286,"2014-08-16",16775795,"Michele","The Secret Garden is certainly a perfect retreat while you are in LA.  The guest house is centrally location - close to The Grove and other entertainment/dining options.  Extremely quiet, nicely decorated with all the necessary set-up for a short or long stay along with super friendly host and hostess make The Secret Garden a wonderful stay.  Thank you - shelly"
"1359852",28054677,364956250,"2018-12-31",26076919,"Lee","THIS PLACE IS A DUMP..
Peep holes in the bathroom , 
Super creepy vibe . scummy - I had to leave ,and rented a motel room for less then what these people charged me for . 
The previous reviews 
Can’ NOT be accurate ...unless of course you want a private spot to do illicit  activity at ,. 
Don’t  be fooled like I was ..$130 bucks ?  ITS A  CREEPY DUMP!!!Creeped me out so much while undressing -I left within 20 minutes ."
"4441",24030,512538721,"2019-08-18",10695769,"John","I had heard about the spiritual and physical health benefits from forest bathing in Japan and S. Korea and I wanted to experience it myself. I found Shinrin Yoku LA and I booked my reservation without knowing what exactly to expect. From start to finish it was a very engaging yet beautifully relaxing experience that let me feel the world using all of my faculties. I bonded with my fellows in my group for the day, and I reestablished a crucial bond that the forest and I have, which I often forget about. Shinrin Yoku makes it an easy and wonderful process to engage in. Thanks, again Ben and everyone else I met along the way of our little journey. <3"
"100750",881161,106925764,"2016-10-08",67513118,"Jeannette","The listing description was accurate and the view was beyond expectations! Thank you! "
"1262995",24474587,323524613,"2018-09-15",189290112,"Lis","Be prepared for a daily workOut ! Those stairs are no joke !!!! At least for couch potato’s like myself ! Once you get to the top it’s nice !!!!! The place is so cute we loved it!"
"450407",7308568,430076566,"2019-03-29",28922445,"Omar","Alejandro was incredibly kind, flexible, and friendly. The space was quiet, comfortable, clean, and very welcoming. We would come back and stay again in a heartbeat."
"1150975",21865834,250614562,"2018-04-05",81844147,"Joseph","Great location, lovely host"
"1441669",31466847,433076857,"2019-04-05",127922861,"Stephanie","Perfect host ever ! I promise I will come back again ❤️❤️ thanks Fernanda , you are just too awesome "
"1476779",33614319,524806007,"2019-09-06",32365564,"Tina","Michelle and Robert are great. 
Their place is exactly as pictures. 
We really enjoyed our stay so we recommend it at 100% !"
"518299",8841624,227683365,"2018-01-15",88287684,"Shalom","Good host! Fast responses and there was a self check in which was nice so we didn't have to worry about what time to arrive or leave."
"901650",17224382,202984588,"2017-10-13",154061911,"Kaan","I liked roberts place, thanks a lot"
"499522",8408103,226854393,"2018-01-12",151332713,"Jo-Ann","Amazing House, with everything we could of ever needed. Well situated with The Grove, Farmers Market & Beverly Centre within a short walk.  Dave communicated excellently throughout our whole experience."
"1184259",22496483,314457788,"2018-08-26",205105108,"Phuong","Jeffrey is an amazing host with a lovely place to stay. The surrounding neighborhood is safe and quiet, allowing my friend and I peace of mind when we got back from a day out, which made our trip even better. The space is so clean and had more than enough space for the two of us. It was very comfortable. The accommodations were an added plus as well. We’ll be coming back to Jeffrey’s place when we make another trip back out to LA! "
"887030",16917699,147992331,"2017-04-29",17370123,"Valentina","It was the perfect place for us - close to the airport, parking availabilities right in front of the door and close to Venice and Santa Monica. The check-in and check-out could be done by ourselfs and the communication with the host was super quick and easy. We found everything as seen on the photos. We would def come again. 
"
"956592",18312235,259786325,"2018-05-02",5654392,"Stacey","Where to begin?! Josianne is a remarkable host who has gone to great lengths to make sure her guests have everything they may need during their stay. She is ready and willing to give recommendations, and you can tell she truly loves L.A. The guest house is gorgeous, and everything was spotless. The bed and linens are so cozy; we felt right at home. Best of all, the neighborhood is incredibly peaceful and quiet --  but near so many good restaurants. We were able to walk to several during our stay. From check-in to check-out, our experience was perfect. We will definitely be back the next time we travel to Los Angeles."
"321348",4509145,29924656,"2015-04-14",11341683,"EStela","The house is cozy and with everything new. Very comfortable and in a nice area, with a shopping center very near.
The pool was still cold but our kids enjoyed it anyway.
Everything was clean and Beatriz was a great host, answering every little question very fast.
It has been a great place to stay in L.A.
Thanks Beatriz!!"
"229615",2865584,66495829,"2016-03-22",60502973,"Lisa","Great location! "
"1289202",25260859,333047194,"2018-10-06",172571059,"Eltrick","Expect a great night sleep and superb comfort"
"1038280",19912906,175380766,"2017-07-28",16580546,"Bailey","Zara was extremely helpful and friendly and the place was just as described. It's super clean and comfortable! We had a great stay here, I highly recommend it! "
"480589",7998050,61130135,"2016-01-31",45472961,"Sharon","I enjoyed my stay at Tony and Carla's. The neighborhood was nice, free parking, comfortable room, and close to stores/restaurants. 
The ease of entering/exiting through the side door w/a code was a plus. The hosts were very welcoming and accommodating. I would recommend this place to other travelers in the area. "
"673336",12955386,110352568,"2016-10-25",855514,"Alexus","We had a great stay at Ashle's place. Her place was very clean and beds were comfortable. She was kind enough to accommodate me last minute when another bnb over booked and left us stranded. Thank God for Ashle and her big house. Big TV and quite because of her new vinyl windows.  If you open the door you can hear the morning show for CBS,kinda cool ! and the Grove is steps away where we ate regularly. I definitely be back. Thanks Ashle!"
"581834",10566503,108329717,"2016-10-15",7464966,"Chris","Really sweet location.  Super close to Sunset Blvd,restaurants,and the Hollywood Bowl.  Charming space."
"412270",6434570,348664819,"2018-11-14",75023233,"Nicole","It was a pleasure staying in Jj’s beautiful home in West LA. She was very easy to get in touch with to check in, and everything was clean, stylish, and comfortable. Jj took extra care to make sure my stay was enjoyable, by setting out snacks in the small kitchen area & providing face masks for the smoke from nearby forest fires. I would definitely stay here again!!"
"744579",14170432,454199888,"2019-05-17",255886269,"Serina","Super cute tiny place, the walls are super thin and you can hear everything from the neighbors. Otherwise it’s great!!"
"1439550",31341657,411783740,"2019-02-13",237291598,"Lilly","The space is beautiful. The decor was like something out of a magazine. The smart tv made watching movies easy. Check in was super easy and quick. I just wish I could of stayed an extra night haha. By far the best place I’ve stayed. The place was beyond perfect."
"728598",13893432,102204485,"2016-09-17",31420737,"Eyelle","Great stay! Sara was an attentive host and made sure we got there ok. The house was much bigger and nicer than the pictures make it out to be. It was only missing some baking sheets which made cooking a little hard but the bbq was great and everything else was there. Would definitely stay here again!! The master bathroom was so nice and plenty of towels. "
"1482480",33975235,502612863,"2019-08-04",196508096,"Jonathan","It was a good stay overall. I would rate it a 3.5/5 since the floors weren’t mopped prior to us arriving and the TV wasn’t working properly."
"1165840",22143900,349224159,"2018-11-16",15649411,"Anna","This place was lovely. Great location and wonderful little touches. Very comfortable beds, great amenities. Check in was so smooth and easy and the place was just as described. So happy with this experience!"
"725646",13825358,141948060,"2017-04-05",115358417,"David","Very clean and quiet location close to restaurants, shops and food stores. It had everything we needed. Matt was a great host."
"710379",13602171,248507858,"2018-03-31",3854382,"Catherine","The flat is well organised and welcoming.
It is conveniently located in between the coastal area and the city area of LA, even if the surroundings of the flat, walking, offer very little access to restaurants or shops. There is a Starbucks and a 7/11 so we were fine after all. If you have a car, which we did, it is very conveniently and centrally located. Also pretty direct and close to LAX Airport. I would recommend the flat to friends."
"1090155",20918017,224617894,"2018-01-03",18348139,"Patrik","This place is awesome! A beautiful house on one of the best streets in Venice. Emily is a great host  who responds quickly to everything. Laid back and helpful. I would definitely recommend it to friends and family and others. The house is so well planned with a huge kitchen that really invites to great cooking and entertaining. We'll be back!"
"318916",4463452,261635940,"2018-05-06",20967409,"Angela","Jonathon's place was so cute and the backyard was awesome! It was the perfect place to hang out and relax! Plus it is on a quiet street and close to everything! :)"
"842447",16102409,424051309,"2019-03-15",21556753,"Laurence","Exactly what the photos suggested.  It is a great place to stay with lots of attention to details.  rooms are of very good size and nicely decorated. You have everything you need off hands.  The area is very friendly. Very clear instructions.  We loved it !"
"249297",3293395,45094497,"2015-08-31",4786730,"Kaya-Line","I just loved David's place. Beautifully furnished, great area in Venice, super bright, great working space! An overall great experience and I would most definitly come back anytime I'm in LA. I would also recommend it to anybody else looking for a place in Venice. David was also available all the time and very helpfull. Thank you!!! "
"1143139",21745987,491125794,"2019-07-19",249305158,"Karan","My girlfriend and I had an absolutely magical stay at this charming little place and we absolutely fell in love with it. There's so much attention to detail in the styling and everything feels so homely and comfortable. The location is also fantastic, opening our door every morning to see a sweeping view of the hills in Topanga through a gorgeously decorated outdoor area. Robin was a great host and was very helpful and kind to us regarding any mishaps. Couldn't have found a better place to stay in the area!"
"26073",197756,26619667,"2015-02-16",14232080,"Ira","Really cute spot in a great location! We highly recommend it "
"935127",17923681,140779551,"2017-03-31",39460564,"Mark","Jasmin is the best, she is super friendly and very clear with her communication. Her place is modern, clean, and comfortable. I highly recommend her place as it is super close to all the great places to visit in Beverly Hills. "
"1431310",30933763,414768641,"2019-02-20",198278462,"Rebecca","位置好,房间只够一张床,基本没有空间了,只是睡个觉还是可以的"
"356134",5196322,169509382,"2017-07-12",29003229,"Millie","Jeff & Nika's place is beautiful and it's conveniently located by UCLA.  I just needed a place to sleep for a couple of night and be close to UCLA my place of work.  First night I could not  sleep for it was a hot night in LA, their rules said no A/C overnight but I didn't think that a really hot summer night in LA meant no A/C at all. I let Jeff know my concerns and he tried to accommodate me for the second night. Other than the no A/C issue I recommend their place for it its in a nice secure location, the bed it's incredibly comfortable and the place is clean. He had a parking spot for me but street parking was very convenient, I found parking just outside the apartment for my stay. 
Jeff is a very good comunicator and responds with in minutes, I really appreciated that. 
Thank "
"494149",8290371,249181561,"2018-04-01",58844565,"Gaspar","The house was very nice and the location very good.

Jonah was a good host and gave us lots of cool tips about the city."
"967957",18550081,257902252,"2018-04-27",88423764,"Naveen Chandra","Doreen's place is truly a top class home. It had everything in its place and easy to find... Obviously a lot of thought has gone into making the stay wonderful for the guests... The bottle of wine, the cookies, the crisp munchies, the the chocolates, the microwave pop corns, the Keurig Coffee machine.. The list is endless.. Overall, a fantastic stay!!!"
"1353304",27834522,520629280,"2019-08-30",201391149,"Yesdaulet","Nice place to stay in LA."
"473593",7836850,143865131,"2017-04-13",94690932,"Patricia","Dafi is a very courteous. The location was ideal for my trip, in an excellent neighborhood, and near all of the local attractions in the beach. I wanted to return in May for another trip but unfortunately it is booked. The place is private and has all the amenities needed to feel at home. "
"401591",6223827,79765757,"2016-06-14",18171396,"Nancy","Ed and Terry communicated well and had very detailed check in procedures. The place is exactly as represented in the description. Location is great and very accessible to the beach and other places. Terry made us yummy muffins! Everything was very clean!"
"876354",16723619,442520919,"2019-04-23",235098304,"Liz","Great stay!"
"405564",6303827,400052243,"2019-01-10",18029538,"Markus","Good bang for the buck, safe neighborhood, located in the middle of everything. Good to get anywhere. Serge did a good job to keep things rolling, no complaints."
"29757",244472,367001076,"2019-01-03",29148183,"Edwina","Billy took us out to a quiet beach that was perfect for a lesson. We loved his patience, positive attitude, beach recommendations and simple explanations. Would recommend to anyone looking for an introduction to surfing!"
"1342258",27437210,337303049,"2018-10-15",219748859,"Jay","Very hospitable hosts"
"444514",7134092,59500647,"2016-01-11",14881251,"Carolina","I couldn't have been more lucky than with this airbnb home. Tom and Sharon super kind and helpful. I felt very welcomed. They are also very responsive, despite that I am in the opposite time zone my questions were answered very fast. Also the handover of the key, free internet information etc. were well organised and available. The neighbourhood is beautiful and quite. If you rent a car there is plenty of parking space available in front of the house and if you prefer public transfer there is a bus station 3 minutes from the house that easily connects you with the metro.  Bedroom and bathroom very clean. For pet lovers: they have a very cuddly cat :-)"
"1213197",23170434,262692644,"2018-05-09",35533969,"Claudia","Great stay"
"442020",7075242,340058998,"2018-10-22",108727918,"Matthew","Good place for a weekend stay. Centrally located and nice people."
"325422",4558907,301788148,"2018-08-04",34146454,"Leigh Anne","This was a great place to stay. It was a close walk to shops, restaurants and Echoe Lake. It was immaculate, comfortable and extremely quiet. There was ample parking and we really enjoyed the small private patio complete with lights and decor. You'll also have fun exploring all the little things like 1950s games, records, books, magazines, lamps and art. "
"1185669",22519467,427418633,"2019-03-23",9678677,"Lauren","Clean and very nice place. Check in was very easy. Everything was as advertised! Definitely would recommend it!"
"1134095",21619095,461527506,"2019-05-31",150816964,"Steve","Worth the value!"
"121221",1086714,435545843,"2019-04-10",5982816,"Jens","Shawn's place was ideal for our vacation. The excellent location was the main draw for us. It was nice having our own bedroom and bathroom to use when we weren't out exploring. We talked to Shawn a bit, and he was super friendly and helpful with recommendations for restaurants and things to do. Definitely recommend his place!"
"1464891",32881664,494152571,"2019-07-23",77359051,"Courtney","Worst experience I’ve ever had. 

From the beginning I should of known. Host had automatic messages that were sent right after booking and then didn’t respond until the day of my booking. I had to download an app to retrieve the keys which were at a location 15 min from the Airbnb. He sent a list of rules and asked for a response, but if you didn’t send back “I understand all rules and policies” word for word you were locked out of the keys. Which was our case. He offers absolutely 0 accommodations. 

Upon arrival at the apartment there were 0 cooking supplies. And empty water tank. 2 sets of utensils, 2 cups, 2 plates, no bowls. The fridge was leaking upon our arrival which we had to fix on our own. Pool was advertised but was under construction. 

Host was rude. Bed was extremely uncomfortable with a thin mattress. Dropping off keys was a mission and a half. Not worth the price and headache."
"1144258",21769050,292334356,"2018-07-17",225253,"Dorian","Allie and her team at Luxury Mansions where available immediately with answers or help with everything.  Kimberly was hands on and made us feel at home."
"876407",16724357,132400225,"2017-02-17",20286111,"Teresa","My friend and I loved staying at Benjamin's place! He and his family were very welcoming and super accommodating. The room is located outside/next to their home and has a private entrance. It was well insulated/clean and included a TV/DVDs, a small work desk, slippers (which was nice to go to and from the shared kitchen and bathroom in the main house), heater/AC, and a mini fridge with a couple beverages. They also have a big friendly dog that hangs around outside the room sometimes (I love dogs so I didn't mind at all). Definitely can't beat that with the extremely affordable price. Would definitely stay here again!"
"1133140",21607606,218593053,"2017-12-13",147588029,"Nuna","Thank you Jim for your lovely space you offered us all to ourselves yet being of excellent kind service when needed! We really felt on vacation while also feeling safe and at home. We hope to rebook with you again!"
"719598",13735275,104199545,"2016-09-25",91600465,"Ace","房子特别的干净｡房子里面特别有科技感｡下会还是会选择这个房子｡"
"1246463",24038070,259333570,"2018-05-01",52051612,"Nick","Joseph was a great host. Any questions I had were answered very quickly and they were more than happy to help with any issues. Highly reccomend booking with him!"
"902290",17240769,162428209,"2017-06-20",60285058,"Gordon","Great for a quick stay if you need a place to sleep before a flight the next day. Susan was very accomodating for my schedule! The bed is not particularly private as it's on a landing right before the entrance to another room, however the other guests/tenants were very nice and respectful. I would definitely stay here again. "
"172062",1712954,168077529,"2017-07-08",48132403,"Emily","We loved staying here and Rick was a great host. Rick helped us with all of our needs and any questions we had. The place was well equipped, clean and comfortable. We enjoyed watching netflix in our down time. We loved the location with a short walk to the beach or Abbot Kinney. We'd definitely stay here again."
"582582",10595468,77675101,"2016-06-02",18094018,"Miss Alice C","We had a great one night stay at Susan's place. The location was perfect and we really appreciated that there was a parking space reserved for us! The apartment was cute and had everything we needed, including towels, soaps, wifi and tv. Our only issue was that we couldn't figure out how to unfold the futon and it seemed like it had been broken or something was missing from it so we kept it as a sofa. This was slightly disappointing as we had expected to have two beds! The main bed was incredibly comfortable however and overall we really enjoyed our stay! "
"998186",19105531,434455302,"2019-04-07",251972551,"Alex","Just needed a private bedroom for a few days near USC. No thrills but great price and location!"
"1182709",22467490,241110102,"2018-03-07",3393357,"Kin","Good location. Tiffany was prompt and welcoming. Thank you."
"1261602",24449883,364971212,"2018-12-31",3550108,"Hayden","My wife and I had an amazing stay at Polina's Oasis.  Her home is located in central LA making it easy to get around.  Ryan greeted us upon arrival to help us with our car and get settled into the guest house space.  The private studio is tucked away behind the main house and is well appointed with everything we could have possibly needed.  We were even welcomed with some treats to help us settle in!  A very thoughtful touch on top of the wonderful accommodations.  Thank you!  Leigh & Hayden"
"164829",1637103,230958864,"2018-01-29",42948315,"Trevor","Staying with June was perfect—clean, safe, easy to access, and good vibes. Had a nice breakfast with her and another guest in the morning."
"634193",11992680,90591306,"2016-08-01",74600260,"Angela","I had a really nice stay at Shou's place!"
"292097",4052819,83845985,"2016-07-04",44938786,"Jon","Staying at Owen and Mariana's bungalow was magical. We were warmly welcomed and provided all essentials for our amazing stay. They even provided a complementary bottle of wine and fresh local bread. We enjoyed our afternoon using their bikes to ride down to the beach (very close) and lounging in hammock under the orange tree. Very private and relaxing in a quite neighborhood - close to restaurants, grocery stores, the beach, biking, and much more! We defiantly hope to stay here again when we return to Southern California!"
"827754",15836108,211697451,"2017-11-13",10608686,"Katherine","Paul is a wonderful airbnb host!  Paul is very courteous, friendly, and enjoyable to homeshare with. My room was such a sanctuary for a busy traveler like myself. Loved having the Alexa and Roku as well as plenty of bottled water. Towels were also really great. He has signs everywhere to help you be the best guest you can be, which is so helpful!! Would definitely recommend and would stay here again if I'm in LA."
"478490",7957677,265940152,"2018-05-18",60657336,"Abigail","위치가 탁월합니다. 조용하고 넓습니다. 드라이기가 없는게 조금 아쉬웠으나 전반적으로 커뮤니케이션을 통해 필요한것이 있으면 제공해줍니다!"
"991749",18976672,251891553,"2018-04-08",165312389,"Flora","Exemplary host, room, accommodations, and services! Thanks so much, Harry, for being amazing <3"
"1460994",32689908,439823182,"2019-04-19",184387914,"永刚","Very very beautiful house, very very beautiful golf driving range.  Warm, comfortable, clean, wide view, the landlord is very sweet."
"423728",6674734,266825083,"2018-05-20",69570586,"Yusen","This is a perfect place for people who want to stay in an art piece. The music system was wonderful and the view was beautiful too. Love this place."
"1217629",23312707,311215971,"2018-08-20",24376175,"Xi","Carmael's place is very closed to Ktown which is convenient for us. The checkin is very smooth. However, the parking is extremely hard... We had to park somewhere else and take a uber there. The home is clean and stylish, but I don't find the hair dryer and extra bedding for the 3rd guest though. Also there is no trash can. "
"445684",7181991,502457376,"2019-08-04",83607444,"Chenin","Kevin’s place was great! Very close to Universal Studios and were thankful to be able to walk there! Even with no AC, the apartment was very cool and comfortable. Thanks again, Kevin!"
"1028688",19734896,516013046,"2019-08-23",86798008,"Jeanne'","If you are looking for a tranquil getaway in LA that’s close to everything, look no further! This was our experience at Mark’s place. It was our first time traveling out west and we weren’t quite sure what to expect with our stay. Let me just start by saying his place made our trip amazing! It was our own little quiet piece of paradise. Each day we explored the LA area with all the hustle and bustle but just knowing we had his tranquil place to retreat to made it heavenly. The location was close to everything and his tips were great too. Both the inside decor and outside areas were so serene with lots of artistic touches. All the little extra amenities didn’t go unnoticed either like the waters, snacks, toiletries, extra towels and sheets. His response time was also great. We will definitely be back!

Jeanne’"
"575519",10437004,114092816,"2016-11-15",13356644,"Joel","Excellent space! The room was big and house was clean and quiet. Great neighbourhood and a sweet view of the Hollywood sign a few minutes walk to the reservoir. Definitely recommend staying here!"
"172953",1721598,73647609,"2016-05-09",5419766,"Paul","My favourite home to rent in LA hands down. A true home away from home."
"649553",12310916,325804466,"2018-09-20",75502444,"Myriam","Buen lugar para hospedarse en L.A, todo organizado y limpio con lo necesario para una corta estadia. Para mas de dos personas es 
 pequeño"
"1023211",19619462,322318771,"2018-09-12",2383253,"Jay","Kat’s house is Venice was the perfect place for me to relax for a week.  The house was clean, modern, had great WiFi, Bluetooth speakers and convenient washer and dryer.
The house is well protected from the street and has a nice private outdoor space in the front.
The location was convenient with abbot Kinney and Venice bvld in short walking distance.
Kat does have another house on the property but privacy was never a concern.
Would stay again."
"375524",5646542,161103514,"2017-06-16",47701888,"Jerrika","amazing place 10/10 would stay again!"
"214661",2565292,45337530,"2015-09-01",42228665,"Michela","Great location, clean and comfortable. John is very accommodating, friendly and considerate. 
I would definitely reccomend John's place. You certainly get value for your money and to get the quote that John gives in this area is very rare. Book before its gone his reviews certainly speaks for itself."
"1226033",23544801,352819318,"2018-11-25",16956144,"Jaechul","Awesome place and host. You will love it."
"549406",9714108,268373362,"2018-05-24",32376038,"James","Pete's Place is in a wonderful quiet location, I was very comfortable there. The room is clean, nicely appointed and very comfortable... Highly recommended!"
"269248",3732441,264433467,"2018-05-13",97257239,"Jordan","Judith is very warm and hospitable. She made my stay very pleasant and I recommend staying with her!"
"1142493",21738719,284649767,"2018-07-01",123953081,"Jeff","Clean, comfortable, with perfect hospitality"
